4)
affection tinh cảm
diabetes	tiểu đường	
therapist	bác sĩ chuyên khoa
generous	hào phóng, rộng rãi
compliments	lời khen
flirtatious	tán tỉnh
banter 	nói đùa

5)
drag	lôi kéo
draws 	rút ra
beyond	vượt ra ngoài
lessened	giảm bớt
burden		gánh nặng

6)
As far as	theo như
frequent	thường xuyên
remarks	chú ý, lưu ý
expressed	bày tỏ
intimate	thân mật
advice	khuyên bảo

10)
EX-LOVER	người yêu thích
numerous	nhiều
terrific	khủng khiếp
presently	hiện tại
engaged		đính hôn
betrayed	phản bội
her former	người cũ của cô ấy
current		hiện hành
present		hiện tại
bothers		làm phiền
bowed		cúi đầu
pressure	sức ép
budge		nhượng bộ
confront	đối đầu
standard	tiêu chuẩn
sophisticated	phức tạp
worldly		thực dụng
blind		mù
entitled	có quyền
awkward		bất tiện


